city,district,village,neighborhood,address,compile_date,compile_type
台北市,松山區,慈祐里,014鄰,八德路四段４８６號,民國114年10月29日,門牌初編
台北市,松山區,慈祐里,014鄰,八德路四段４８６號七樓,民國114年10月29日,門牌初編
台北市,松山區,慈祐里,014鄰,八德路四段４８６號七樓之１,民國114年10月29日,門牌初編
台北市,松山區,慈祐里,014鄰,八德路四段４８６號七樓之２,民國114年10月29日,門牌初編
台北市,松山區,慈祐里,014鄰,八德路四段４８６號七樓之３,民國114年10月29日,門牌初編
台北市,松山區,慈祐里,014鄰,八德路四段４８６號七樓之５,民國114年10月29日,門牌初編
台北市,松山區,慈祐里,014鄰,八德路四段４８６號七樓之６,民國114年10月29日,門牌初編
台北市,松山區,慈祐里,014鄰,八德路四段４８６號七樓之７,民國114年10月29日,門牌初編
台北市,松山區,慈祐里,014鄰,八德路四段４８６號七樓之８,民國114年10月29日,門牌初編
台北市,松山區,慈祐里,014鄰,八德路四段４８６號九樓,民國114年10月29日,門牌初編
台北市,松山區,慈祐里,014鄰,八德路四段４８６號九樓之１,民國114年10月29日,門牌初編
台北市,松山區,慈祐里,014鄰,八德路四段４８６號九樓之２,民國114年10月29日,門牌初編
台北市,松山區,慈祐里,014鄰,八德路四段４８６號九樓之３,民國114年10月29日,門牌初編
台北市,松山區,慈祐里,014鄰,八德路四段４８６號九樓之５,民國114年10月29日,門牌初編
台北市,松山區,慈祐里,014鄰,八德路四段４８６號九樓之６,民國114年10月29日,門牌初編
台北市,松山區,慈祐里,014鄰,八德路四段４８６號九樓之７,民國114年10月29日,門牌初編
台北市,松山區,慈祐里,014鄰,八德路四段４８６號九樓之８,民國114年10月29日,門牌初編
台北市,松山區,慈祐里,014鄰,八德路四段４８６號二樓,民國114年10月29日,門牌初編
台北市,松山區,慈祐里,014鄰,八德路四段４８６號二樓之１,民國114年10月29日,門牌初編
台北市,松山區,慈祐里,014鄰,八德路四段４８６號二樓之２,民國114年10月29日,門牌初編
